"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 16 02:19:38 GMT 2024","Sat Mar 16 02:19:41 GMT 2024","2277","","Test Goggle UI","","Test Goggle UI","Make login with wrong data, correct data, verify text, and logout","Make login with wrong data, correct data, verify text, and logout",""
"passed","Sat Mar 16 02:19:38 GMT 2024","Sat Mar 16 02:19:38 GMT 2024","564","","Test Goggle UI","","Test Goggle UI","Upload text file and verified if it uploaded successfully","Upload text file and verified if it uploaded successfully",""
"passed","Sat Mar 16 02:19:37 GMT 2024","Sat Mar 16 02:19:37 GMT 2024","883","","Test Goggle UI","","Test Goggle UI","Inserts new inputs and check returned outputs","Inserts new inputs and check returned outputs",""
"passed","Sat Mar 16 02:19:41 GMT 2024","Sat Mar 16 02:19:41 GMT 2024","479","","Test Goggle UI","","Test Goggle UI","Click on JavaScript alerts buttons and verify alert message","Click on JavaScript alerts buttons and verify alert message",""
"passed","Sat Mar 16 02:19:32 GMT 2024","Sat Mar 16 02:19:32 GMT 2024","13","","Ranking Mechanism Test","","Ranking Mechanism Test","Check if total grade for site+product is higher then second total grade site+product","Check if total grade for site+product is higher then second total grade site+product",""
"passed","Sat Mar 16 02:19:32 GMT 2024","Sat Mar 16 02:19:32 GMT 2024","38","","Ranking Mechanism Test","","Ranking Mechanism Test","Same keyword appears in more than 1 product","Same keyword appears in more than 1 product",""
"passed","Sat Mar 16 02:19:37 GMT 2024","Sat Mar 16 02:19:38 GMT 2024","245","","Test Goggle UI","","Test Goggle UI","Compare CPU value of Chrome with expected CPU value","Compare CPU value of Chrome with expected CPU value",""
"passed","Sat Mar 16 02:19:32 GMT 2024","Sat Mar 16 02:19:32 GMT 2024","53","","Ranking Mechanism Test","","Ranking Mechanism Test","Update exist website with a reference link","Update exist website with a reference link",""
"passed","Sat Mar 16 02:19:32 GMT 2024","Sat Mar 16 02:19:32 GMT 2024","27","","Ranking Mechanism Test","","Ranking Mechanism Test","Check website date value","Check website date value",""
"passed","Sat Mar 16 02:19:32 GMT 2024","Sat Mar 16 02:19:32 GMT 2024","21","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new website to database, verify if statusText return Created","Insert new website to database, verify if statusText return Created",""
"passed","Sat Mar 16 02:19:32 GMT 2024","Sat Mar 16 02:19:32 GMT 2024","24","","Ranking Mechanism Test","","Ranking Mechanism Test","Remove one product from DB","Remove one product from DB",""
"passed","Sat Mar 16 02:19:32 GMT 2024","Sat Mar 16 02:19:32 GMT 2024","23","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new product to database, verify if statusText return Created","Insert new product to database, verify if statusText return Created",""
