"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 02:19:10 GMT 2024","Tue Feb 20 02:19:10 GMT 2024","36","","Ranking Mechanism Test","","Ranking Mechanism Test","Check website date value","Check website date value",""
"passed","Tue Feb 20 02:19:15 GMT 2024","Tue Feb 20 02:19:16 GMT 2024","943","","Test Goggle UI","","Test Goggle UI","Inserts new inputs and check returned outputs","Inserts new inputs and check returned outputs",""
"passed","Tue Feb 20 02:19:10 GMT 2024","Tue Feb 20 02:19:10 GMT 2024","35","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new product to database, verify if statusText return Created","Insert new product to database, verify if statusText return Created",""
"passed","Tue Feb 20 02:19:10 GMT 2024","Tue Feb 20 02:19:10 GMT 2024","33","","Ranking Mechanism Test","","Ranking Mechanism Test","Remove one product from DB","Remove one product from DB",""
"passed","Tue Feb 20 02:19:16 GMT 2024","Tue Feb 20 02:19:17 GMT 2024","520","","Test Goggle UI","","Test Goggle UI","Upload text file and verified if it uploaded successfully","Upload text file and verified if it uploaded successfully",""
"passed","Tue Feb 20 02:19:17 GMT 2024","Tue Feb 20 02:19:19 GMT 2024","2008","","Test Goggle UI","","Test Goggle UI","Make login with wrong data, correct data, verify text, and logout","Make login with wrong data, correct data, verify text, and logout",""
"passed","Tue Feb 20 02:19:16 GMT 2024","Tue Feb 20 02:19:16 GMT 2024","272","","Test Goggle UI","","Test Goggle UI","Compare CPU value of Chrome with expected CPU value","Compare CPU value of Chrome with expected CPU value",""
"passed","Tue Feb 20 02:19:10 GMT 2024","Tue Feb 20 02:19:10 GMT 2024","29","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new website to database, verify if statusText return Created","Insert new website to database, verify if statusText return Created",""
"passed","Tue Feb 20 02:19:19 GMT 2024","Tue Feb 20 02:19:19 GMT 2024","467","","Test Goggle UI","","Test Goggle UI","Click on JavaScript alerts buttons and verify alert message","Click on JavaScript alerts buttons and verify alert message",""
"passed","Tue Feb 20 02:19:10 GMT 2024","Tue Feb 20 02:19:10 GMT 2024","62","","Ranking Mechanism Test","","Ranking Mechanism Test","Update exist website with a reference link","Update exist website with a reference link",""
"passed","Tue Feb 20 02:19:10 GMT 2024","Tue Feb 20 02:19:10 GMT 2024","14","","Ranking Mechanism Test","","Ranking Mechanism Test","Check if total grade for site+product is higher then second total grade site+product","Check if total grade for site+product is higher then second total grade site+product",""
"passed","Tue Feb 20 02:19:10 GMT 2024","Tue Feb 20 02:19:10 GMT 2024","53","","Ranking Mechanism Test","","Ranking Mechanism Test","Same keyword appears in more than 1 product","Same keyword appears in more than 1 product",""
