"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 20 02:20:08 GMT 2024","Wed Mar 20 02:20:08 GMT 2024","461","","Test Goggle UI","","Test Goggle UI","Upload text file and verified if it uploaded successfully","Upload text file and verified if it uploaded successfully",""
"passed","Wed Mar 20 02:20:01 GMT 2024","Wed Mar 20 02:20:01 GMT 2024","15","","Ranking Mechanism Test","","Ranking Mechanism Test","Check if total grade for site+product is higher then second total grade site+product","Check if total grade for site+product is higher then second total grade site+product",""
"passed","Wed Mar 20 02:20:06 GMT 2024","Wed Mar 20 02:20:07 GMT 2024","991","","Test Goggle UI","","Test Goggle UI","Inserts new inputs and check returned outputs","Inserts new inputs and check returned outputs",""
"passed","Wed Mar 20 02:20:01 GMT 2024","Wed Mar 20 02:20:01 GMT 2024","40","","Ranking Mechanism Test","","Ranking Mechanism Test","Remove one product from DB","Remove one product from DB",""
"passed","Wed Mar 20 02:20:01 GMT 2024","Wed Mar 20 02:20:01 GMT 2024","38","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new product to database, verify if statusText return Created","Insert new product to database, verify if statusText return Created",""
"passed","Wed Mar 20 02:20:10 GMT 2024","Wed Mar 20 02:20:11 GMT 2024","425","","Test Goggle UI","","Test Goggle UI","Click on JavaScript alerts buttons and verify alert message","Click on JavaScript alerts buttons and verify alert message",""
"passed","Wed Mar 20 02:20:01 GMT 2024","Wed Mar 20 02:20:01 GMT 2024","25","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new website to database, verify if statusText return Created","Insert new website to database, verify if statusText return Created",""
"passed","Wed Mar 20 02:20:01 GMT 2024","Wed Mar 20 02:20:01 GMT 2024","24","","Ranking Mechanism Test","","Ranking Mechanism Test","Check website date value","Check website date value",""
"passed","Wed Mar 20 02:20:07 GMT 2024","Wed Mar 20 02:20:08 GMT 2024","235","","Test Goggle UI","","Test Goggle UI","Compare CPU value of Chrome with expected CPU value","Compare CPU value of Chrome with expected CPU value",""
"passed","Wed Mar 20 02:20:08 GMT 2024","Wed Mar 20 02:20:10 GMT 2024","1976","","Test Goggle UI","","Test Goggle UI","Make login with wrong data, correct data, verify text, and logout","Make login with wrong data, correct data, verify text, and logout",""
"passed","Wed Mar 20 02:20:01 GMT 2024","Wed Mar 20 02:20:01 GMT 2024","69","","Ranking Mechanism Test","","Ranking Mechanism Test","Update exist website with a reference link","Update exist website with a reference link",""
"passed","Wed Mar 20 02:20:01 GMT 2024","Wed Mar 20 02:20:01 GMT 2024","46","","Ranking Mechanism Test","","Ranking Mechanism Test","Same keyword appears in more than 1 product","Same keyword appears in more than 1 product",""
