"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 02:14:44 GMT 2024","Thu Mar 07 02:14:45 GMT 2024","29","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new website to database, verify if statusText return Created","Insert new website to database, verify if statusText return Created",""
"passed","Thu Mar 07 02:14:44 GMT 2024","Thu Mar 07 02:14:44 GMT 2024","20","","Ranking Mechanism Test","","Ranking Mechanism Test","Check website date value","Check website date value",""
"passed","Mon Feb 19 15:12:21 GMT 2024","Mon Feb 19 15:12:24 GMT 2024","3290","","Test Goggle UI","","Test Goggle UI","Upload text file and verified if it uploaded successfully","Upload text file and verified if it uploaded successfully",""
"passed","Thu Mar 07 02:14:44 GMT 2024","Thu Mar 07 02:14:44 GMT 2024","43","","Ranking Mechanism Test","","Ranking Mechanism Test","Update exist website with a reference link","Update exist website with a reference link",""
"passed","Mon Feb 19 15:12:34 GMT 2024","Mon Feb 19 15:12:37 GMT 2024","2790","","Test Goggle UI","","Test Goggle UI","Click on JavaScript alerts buttons and verify alert message","Click on JavaScript alerts buttons and verify alert message",""
"passed","Thu Mar 07 02:14:44 GMT 2024","Thu Mar 07 02:14:44 GMT 2024","27","","Ranking Mechanism Test","","Ranking Mechanism Test","Remove one product from DB","Remove one product from DB",""
"passed","Mon Feb 19 15:12:16 GMT 2024","Mon Feb 19 15:12:19 GMT 2024","2382","","Test Goggle UI","","Test Goggle UI","Inserts new inputs and check returned outputs","Inserts new inputs and check returned outputs",""
"passed","Mon Feb 19 15:12:24 GMT 2024","Mon Feb 19 15:12:34 GMT 2024","10089","","Test Goggle UI","","Test Goggle UI","Make login with wrong data, correct data, verify text, and logout","Make login with wrong data, correct data, verify text, and logout",""
"passed","Thu Mar 07 02:14:44 GMT 2024","Thu Mar 07 02:14:44 GMT 2024","13","","Ranking Mechanism Test","","Ranking Mechanism Test","Check if total grade for site+product is higher then second total grade site+product","Check if total grade for site+product is higher then second total grade site+product",""
"passed","Thu Mar 07 02:14:45 GMT 2024","Thu Mar 07 02:14:45 GMT 2024","20","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new product to database, verify if statusText return Created","Insert new product to database, verify if statusText return Created",""
"passed","Mon Feb 19 15:12:19 GMT 2024","Mon Feb 19 15:12:21 GMT 2024","2275","","Test Goggle UI","","Test Goggle UI","Compare CPU value of Chrome with expected CPU value","Compare CPU value of Chrome with expected CPU value",""
"passed","Thu Mar 07 02:14:44 GMT 2024","Thu Mar 07 02:14:44 GMT 2024","34","","Ranking Mechanism Test","","Ranking Mechanism Test","Same keyword appears in more than 1 product","Same keyword appears in more than 1 product",""
