"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 08 02:21:49 GMT 2024","Fri Mar 08 02:21:49 GMT 2024","42","","Ranking Mechanism Test","","Ranking Mechanism Test","Check website date value","Check website date value",""
"passed","Fri Mar 08 02:21:49 GMT 2024","Fri Mar 08 02:21:50 GMT 2024","36","","Ranking Mechanism Test","","Ranking Mechanism Test","Remove one product from DB","Remove one product from DB",""
"passed","Fri Mar 08 02:21:55 GMT 2024","Fri Mar 08 02:21:56 GMT 2024","1320","","Test Goggle UI","","Test Goggle UI","Inserts new inputs and check returned outputs","Inserts new inputs and check returned outputs",""
"passed","Fri Mar 08 02:21:57 GMT 2024","Fri Mar 08 02:21:59 GMT 2024","2344","","Test Goggle UI","","Test Goggle UI","Make login with wrong data, correct data, verify text, and logout","Make login with wrong data, correct data, verify text, and logout",""
"passed","Fri Mar 08 02:21:56 GMT 2024","Fri Mar 08 02:21:56 GMT 2024","307","","Test Goggle UI","","Test Goggle UI","Compare CPU value of Chrome with expected CPU value","Compare CPU value of Chrome with expected CPU value",""
"passed","Fri Mar 08 02:21:50 GMT 2024","Fri Mar 08 02:21:50 GMT 2024","43","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new product to database, verify if statusText return Created","Insert new product to database, verify if statusText return Created",""
"passed","Fri Mar 08 02:21:59 GMT 2024","Fri Mar 08 02:22:00 GMT 2024","506","","Test Goggle UI","","Test Goggle UI","Click on JavaScript alerts buttons and verify alert message","Click on JavaScript alerts buttons and verify alert message",""
"passed","Fri Mar 08 02:21:49 GMT 2024","Fri Mar 08 02:21:49 GMT 2024","47","","Ranking Mechanism Test","","Ranking Mechanism Test","Same keyword appears in more than 1 product","Same keyword appears in more than 1 product",""
"passed","Fri Mar 08 02:21:50 GMT 2024","Fri Mar 08 02:21:50 GMT 2024","15","","Ranking Mechanism Test","","Ranking Mechanism Test","Check if total grade for site+product is higher then second total grade site+product","Check if total grade for site+product is higher then second total grade site+product",""
"passed","Fri Mar 08 02:21:50 GMT 2024","Fri Mar 08 02:21:50 GMT 2024","27","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new website to database, verify if statusText return Created","Insert new website to database, verify if statusText return Created",""
"passed","Fri Mar 08 02:21:49 GMT 2024","Fri Mar 08 02:21:49 GMT 2024","61","","Ranking Mechanism Test","","Ranking Mechanism Test","Update exist website with a reference link","Update exist website with a reference link",""
"passed","Fri Mar 08 02:21:56 GMT 2024","Fri Mar 08 02:21:57 GMT 2024","600","","Test Goggle UI","","Test Goggle UI","Upload text file and verified if it uploaded successfully","Upload text file and verified if it uploaded successfully",""
