"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 02:17:30 GMT 2024","Sat Feb 24 02:17:31 GMT 2024","966","","Test Goggle UI","","Test Goggle UI","Inserts new inputs and check returned outputs","Inserts new inputs and check returned outputs",""
"passed","Sat Feb 24 02:17:24 GMT 2024","Sat Feb 24 02:17:24 GMT 2024","13","","Ranking Mechanism Test","","Ranking Mechanism Test","Check if total grade for site+product is higher then second total grade site+product","Check if total grade for site+product is higher then second total grade site+product",""
"passed","Sat Feb 24 02:17:31 GMT 2024","Sat Feb 24 02:17:31 GMT 2024","313","","Test Goggle UI","","Test Goggle UI","Compare CPU value of Chrome with expected CPU value","Compare CPU value of Chrome with expected CPU value",""
"passed","Sat Feb 24 02:17:24 GMT 2024","Sat Feb 24 02:17:24 GMT 2024","46","","Ranking Mechanism Test","","Ranking Mechanism Test","Update exist website with a reference link","Update exist website with a reference link",""
"passed","Sat Feb 24 02:17:24 GMT 2024","Sat Feb 24 02:17:24 GMT 2024","24","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new website to database, verify if statusText return Created","Insert new website to database, verify if statusText return Created",""
"passed","Sat Feb 24 02:17:31 GMT 2024","Sat Feb 24 02:17:32 GMT 2024","544","","Test Goggle UI","","Test Goggle UI","Upload text file and verified if it uploaded successfully","Upload text file and verified if it uploaded successfully",""
"passed","Sat Feb 24 02:17:24 GMT 2024","Sat Feb 24 02:17:24 GMT 2024","30","","Ranking Mechanism Test","","Ranking Mechanism Test","Check website date value","Check website date value",""
"passed","Sat Feb 24 02:17:24 GMT 2024","Sat Feb 24 02:17:24 GMT 2024","41","","Ranking Mechanism Test","","Ranking Mechanism Test","Same keyword appears in more than 1 product","Same keyword appears in more than 1 product",""
"passed","Sat Feb 24 02:17:34 GMT 2024","Sat Feb 24 02:17:34 GMT 2024","509","","Test Goggle UI","","Test Goggle UI","Click on JavaScript alerts buttons and verify alert message","Click on JavaScript alerts buttons and verify alert message",""
"passed","Sat Feb 24 02:17:24 GMT 2024","Sat Feb 24 02:17:24 GMT 2024","24","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new product to database, verify if statusText return Created","Insert new product to database, verify if statusText return Created",""
"passed","Sat Feb 24 02:17:24 GMT 2024","Sat Feb 24 02:17:24 GMT 2024","31","","Ranking Mechanism Test","","Ranking Mechanism Test","Remove one product from DB","Remove one product from DB",""
"passed","Sat Feb 24 02:17:32 GMT 2024","Sat Feb 24 02:17:34 GMT 2024","2097","","Test Goggle UI","","Test Goggle UI","Make login with wrong data, correct data, verify text, and logout","Make login with wrong data, correct data, verify text, and logout",""
